rental_id,user_id,age,gender,start_time,end_time,start_station,end_station,duration_minutes,price
1,1102,61,F,2025-01-07 19:39:00,2025-01-07 20:12:00,Station B,Station B,33,8.25
2,1435,51,F,2025-01-04 07:22:00,2025-01-04 08:15:00,Station D,Station E,53,13.25
3,1860,27,F,2025-01-03 01:51:00,2025-01-03 02:41:00,Station B,Station B,50,12.5
4,1270,53,F,2025-01-08 06:26:00,2025-01-08 07:23:00,Station C,Station E,57,14.25
5,1106,31,F,2025-01-01 18:59:00,2025-01-01 19:34:00,Station A,Station C,35,8.75
6,1071,48,F,2025-01-03 06:51:00,2025-01-03 07:30:00,Station C,Station E,39,9.75
7,1700,32,M,2025-01-06 06:18:00,2025-01-06 06:55:00,Station D,Station D,37,9.25
8,1020,25,F,2025-01-05 21:06:00,2025-01-05 22:02:00,Station B,Station A,56,14.0
9,1614,31,F,2025-01-07 23:21:00,2025-01-07 23:46:00,Station B,Station E,25,6.25
10,1121,40,M,2025-01-02 17:06:00,2025-01-02 17:42:00,Station E,Station E,36,9.0
11,1466,57,F,2025-01-07 02:58:00,2025-01-07 03:25:00,Station B,Station A,27,6.75
12,1214,38,M,2025-01-03 08:31:00,2025-01-03 09:08:00,Station E,Station D,37,9.25
13,1330,33,M,2025-01-02 12:54:00,2025-01-02 13:01:00,Station A,Station B,7,1.75
14,1458,62,F,2025-01-02 14:43:00,2025-01-02 15:05:00,Station D,Station E,22,5.5
15,1087,35,M,2025-01-07 08:40:00,2025-01-07 09:09:00,Station E,Station A,29,7.25
16,1372,64,M,2025-01-03 09:36:00,2025-01-03 10:22:00,Station A,Station C,46,11.5
17,1099,41,M,2025-01-02 16:39:00,2025-01-02 17:14:00,Station B,Station A,35,8.75
18,1871,43,M,2025-01-05 07:59:00,2025-01-05 08:57:00,Station B,Station C,58,14.5
19,1663,42,F,2025-01-05 23:34:00,2025-01-05 23:41:00,Station A,Station D,7,1.75
20,1130,62,M,2025-01-02 23:45:00,2025-01-03 00:29:00,Station B,Station B,44,11.0
